index x y duration
1 779 736 618
2 622 641 159
3 472 596 199
4 512 279 299
5 692 347 259
6 803 244 179
7 923 252 180
8 1178 419 279
9 851 618 100
10 923 606 199
11 717 377 339
12 581 522 159
13 531 564 159
14 361 599 239
15 416 932 239
16 541 141 379
17 787 83 179
18 904 66 199
19 743 292 279
20 673 322 160
21 640 210 159
22 604 582 160
23 529 596 199
24 345 559 140
25 574 359 219
26 641 351 239
27 746 342 259
28 669 348 259
29 764 378 2014
30 701 376 279
31 767 398 777
32 694 388 319
33 762 375 857
34 701 383 259
35 776 402 558
36 1165 437 259
37 771 377 379
38 668 376 319
39 599 631 159
40 708 613 219
41 859 629 159
42 937 629 239
43 914 677 718
44 718 673 957
45 508 659 598
46 544 606 139
47 489 641 219
48 528 581 399
49 506 717 239
50 293 422 100
51 651 208 279
52 707 139 179
53 419 127 339
54 521 62 259
55 826 85 199
56 701 224 199
57 658 265 458
58 934 250 259
59 722 154 199
60 391 117 279
61 690 335 319
62 545 592 578
63 634 374 160
64 541 571 180
65 509 698 279
66 534 619 279
67 536 584 439
68 359 590 259
69 510 690 419
70 503 680 439
71 542 669 199
72 498 668 598
73 540 655 458
74 487 639 259
75 538 672 419
76 525 733 159
77 496 706 459
78 519 613 379
79 740 382 399
80 624 215 399
81 670 232 140
82 666 342 160
83 539 563 997
84 346 574 359
85 682 591 159
86 738 620 179
87 933 634 120
